sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss
0.008	1803	0	0.004672104	0	NaN	NaN	6278	0	0.009297772	0	NaN	NaN	19	1	0
0.009	1845	0	0.007238996	0	NaN	NaN	6235	0	0.008633362	0	NaN	NaN	20	1	0
0.01	1986	0	0.004832027	0	NaN	NaN	6099	0	0.008575626	0	NaN	NaN	15	1	0
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	3021	0	0.011987476	5073	0	0.048297011	2	0	0.029154449	0	NaN	NaN	4	1	0
6.00E-04	3025	0	0.012889436	5071	0	0.048190218	0	NaN	NaN	0	NaN	NaN	4	1	0
7.00E-04	3321	0	0.009649182	4750	0	0.039943828	24	0	0.013685683	0	NaN	NaN	5	1	0
8.00E-04	3304	0	0.010393496	4643	0	0.041677195	147	0	0.002223991	0	NaN	NaN	6	1	0
9.00E-04	3746	0	0.011730967	4067	0	0.037614891	280	0	0.00955056	0	NaN	NaN	7	1	0
0.001	3406	0	0.012746204	3956	0	0.037903842	730	0	0.005731844	0	NaN	NaN	8	1	0
0.002	4688	0	0.008433793	1198	0	0.029279036	2200	0	0.010348849	0	NaN	NaN	14	1	0
0.003	2908	0	0.010968187	106	0	0.035970776	5066	0	0.008752382	0	NaN	NaN	20	1	0
0.004	1887	0	0.004329935	0	NaN	NaN	6189	0	0.009345603	0	NaN	NaN	24	1	0
0.005	1961	0	0.004786014	0	NaN	NaN	6117	0	0.008106241	0	NaN	NaN	22	1	0
0.006	1928	0	0.006364253	0	NaN	NaN	6151	0	0.008988493	0	NaN	NaN	21	1	0
0.007	1511	0	0.004165001	0	NaN	NaN	6568	0	0.007085646	0	NaN	NaN	21	1	0
0.008	1985	0	0.005649467	0	NaN	NaN	6096	0	0.009156558	0	NaN	NaN	19	1	0
0.009	1390	0	0.005322763	0	NaN	NaN	6690	0	0.00871137	0	NaN	NaN	20	1	0
0.01	1989	0	0.003626908	0	NaN	NaN	6095	0	0.006736962	0	NaN	NaN	16	1	0
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	2516	0	0.013529211	5327	0	0.058952321	253	0	0.006687282	0	NaN	NaN	4	1	0
6.00E-04	2400	0	0.009558443	5696	0	0.049466695	0	NaN	NaN	0	NaN	NaN	4	1	0
7.00E-04	2894	0	0.01248528	4964	0	0.046849877	237	0	0.006073818	0	NaN	NaN	5	1	0
8.00E-04	3294	0	0.009182643	4648	0	0.038965503	152	0	0.012367664	0	NaN	NaN	6	1	0
9.00E-04	3633	0	0.013304984	3995	0	0.041664962	465	0	0.01034253	0	NaN	NaN	7	1	0
0.001	3334	0	0.012480045	4106	0	0.037240385	652	0	0.00532028	0	NaN	NaN	8	1	0
0.002	4714	0	0.009589298	1053	0	0.029321343	2319	0	0.009150889	0	NaN	NaN	14	1	0
0.003	3175	0	0.010261614	212	0	0.035625156	4693	0	0.009005448	0	NaN	NaN	20	1	0
0.004	2085	0	0.00586813	0	NaN	NaN	5992	0	0.008220563	0	NaN	NaN	23	1	0
0.005	1564	0	0.005595467	0	NaN	NaN	6512	0	0.008257198	0	NaN	NaN	24	1	0
0.006	1288	0	0.003883815	0	NaN	NaN	6789	0	0.007707521	0	NaN	NaN	23	1	0
0.007	1671	0	0.00367673	0	NaN	NaN	6408	0	0.00765872	0	NaN	NaN	21	1	0
0.008	1994	0	0.004981427	0	NaN	NaN	6088	0	0.008733132	0	NaN	NaN	18	1	0
0.009	1571	0	0.004560128	0	NaN	NaN	6511	0	0.007997893	0	NaN	NaN	18	1	0
0.01	2013	0	0.005212882	0	NaN	NaN	6071	0	0.009524764	0	NaN	NaN	16	1	0
