sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss	initialSamplesTotal	initialSamples%	initialSamplesAvgLoss
0.0040	2372	0.4085160202360877	0.006206245336861296	0	NaN	NaN	5700	0.3410526315789474	0.007930007487475283	0	NaN	NaN	22	1.0	0.0	6	1.0	0.0
0.0050	2006	0.47507477567298106	0.005360740800319064	0	NaN	NaN	6062	0.2596502804354998	0.009004139104575985	0	NaN	NaN	24	1.0	0.0	8	1.0	0.0
0.0060	2211	0.39077340569877883	0.006549225771733551	0	NaN	NaN	5859	0.2944188428059396	0.009073360492503789	0	NaN	NaN	21	1.0	0.0	9	1.0	0.0
0.0070	1888	0.392478813559322	0.006339080391213135	0	NaN	NaN	6182	0.33193141378194757	0.008085859126388373	0	NaN	NaN	19	1.0	0.0	11	1.0	0.0
0.0080	2207	0.37562301767104667	0.00747494069621344	0	NaN	NaN	5862	0.32019788468099625	0.008008672909543092	0	NaN	NaN	18	1.0	0.0	13	1.0	0.0
0.0090	1158	0.6338514680483592	0.0025988292480453082	0	NaN	NaN	6906	0.33883579496090355	0.007405380669942922	0	NaN	NaN	22	1.0	0.0	14	1.0	0.0
0.01	1589	0.42039018250471993	0.005566396390322273	0	NaN	NaN	6476	0.2935453983940704	0.008433386304760713	0	NaN	NaN	19	1.0	0.0	16	1.0	0.0
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
4.0E-4	2316	0.22279792746113988	0.011628184208233082	5780	0.0	0.06179933248617758	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	0	NaN	NaN
5.0E-4	2772	0.2222222222222222	0.011845905412899024	5323	0.0	0.05438500398523931	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
6.0E-4	3024	0.18981481481481483	0.012937046244855364	5071	0.0	0.048133376159909355	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
7.0E-4	3124	0.20166453265044815	0.012182413453362727	4848	0.0	0.048285530160640446	122	0.0	0.011347749206202915	0	NaN	NaN	5	1.0	0.0	1	1.0	0.0
8.0E-4	3092	0.2988357050452781	0.010010601417431687	4602	0.020425901781833986	0.037869836578567795	399	0.19548872180451127	0.009677244803751069	0	NaN	NaN	6	1.0	0.0	1	1.0	0.0
9.0E-4	3641	0.22795935182642132	0.01084682579068884	4119	2.4277737314882253E-4	0.03788063380558709	332	0.27710843373493976	0.007878170766620922	0	NaN	NaN	7	1.0	0.0	1	1.0	0.0
0.0010	3659	0.23476359661109591	0.012677969203908299	3761	5.317734645041213E-4	0.03547753132477606	671	0.3025335320417288	0.008275702835834049	0	NaN	NaN	8	1.0	0.0	1	1.0	0.0
0.0020	4624	0.3153114186851211	0.009838257741869237	998	0.008016032064128256	0.026775775139202387	2461	0.2779357984559122	0.010091434555539527	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	3109	0.313927307816018	0.007215032531593044	15	0.0	0.02961923961666408	4951	0.30397899414259744	0.008715331589803334	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
0.0040	2797	0.4751519485162674	0.005146981479487993	0	NaN	NaN	5275	0.329478672985782	0.008608503594696254	0	NaN	NaN	22	1.0	0.0	6	1.0	0.0
0.0050	1748	0.4988558352402746	0.004294973385745825	0	NaN	NaN	6322	0.2913634925656438	0.008280159388041249	0	NaN	NaN	22	1.0	0.0	8	1.0	0.0
0.0060	2192	0.5223540145985401	0.004164780939850625	0	NaN	NaN	5878	0.30503572643756377	0.008162452076936425	0	NaN	NaN	21	1.0	0.0	9	1.0	0.0
